DateTime,TargetWeight(oz)-B1,Weight/Product(oz)-B1,Products/min-B1,TargetWeight(oz)-B2,Weight/Product(oz)-B2,Products/min-B2,TargetWeight(oz)-B3,Weight/Product(oz)-B3,Products/min-B3,TargetWeight(oz)-A3,Weight/Product(oz)-A3,Products/min-A3,TargetWeight(oz)-B4,Weight/Product(oz)-B4,Products/min-B4,TargetWeight(oz)-A1,Weight/Product(oz)-A1,Products/min-A1,TargetWeight(oz)-A4,Weight/Product(oz)-A4,Products/min-A4,TargetWeight(oz)-A2,Weight/Product(oz)-A2,Products/min-A2
54:00.0,66.4973,64.9041,28,0,0,0,0.0529,49.3835,0,59.807,49.7363,51,0,0,0,22.4166,49.7363,4,51.3706,49.7363,44,46.9496,49.7363,40
00:00.0,65.9564,64.9041,23,0,0,0,0.241,49.3835,0,58.4607,49.7363,60,0,0,0,29.3421,49.7363,16,51.6176,49.7363,58,53.3754,49.7363,58
06:00.0,66.5561,64.9041,26,0,0,0,0,0,0,59.6953,49.7363,51,0,0,0,5.3616,49.7363,0,51.3824,49.7363,67,37.0729,49.7363,30
12:00.0,69.2487,64.9041,28,0,0,0,0,0,0,48.4723,49.7363,30,0,0,0,0.0529,49.7363,0,53.1226,49.7363,52,54.4277,49.7363,46
18:00.0,69.0841,64.9041,30,0,0,0,0,0,0,47.32,49.7363,41,0,0,0,33.6102,49.7363,30,51.2707,49.7363,53,52.7111,49.7363,53
24:00.0,22.9457,64.9041,3,0,0,0,0,0,0,9.6357,49.7363,4,0,0,0,26.1733,49.7363,24,16.6963,49.7363,5,27.6019,49.7363,18
30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42:00.0,56.744,64.9041,14,0,0,0,0,0,0,0,0,0,0,0,0,52.0291,49.7363,57,0,0,0,53.0168,49.7363,48
48:00.0,45.0272,64.9041,11,0,0,0,0,0,0,36.6614,49.7363,38,0,0,0,52.9815,49.7363,69,0,0,0,56.2737,49.7363,58
54:00.0,0,0,0,0,0,0,0,0,0,55.7505,49.7363,63,0,0,0,35.2387,49.7363,27,0,0,0,51.7057,49.7363,40
00:00.0,0,0,0,0,0,0,0,0,0,49.8891,49.7363,48,0,0,0,52.6464,49.7363,67,51.3883,49.7363,59,54.7981,49.7363,57
06:00.0,0,0,0,0,0,0,0,0,0,28.4073,49.7363,16,0,0,0,53.54,49.7363,69,51.4941,49.7363,33,52.8463,49.7363,56
12:00.0,0,0,0,0,0,0,0,0,0,61.7353,49.7363,59,0,0,0,35.0741,80.7774,29,50.7416,49.7363,68,34.4039,49.7363,20
18:00.0,0,0,0,0,0,0,0,0,0,61.3532,49.7363,58,0,0,0,0.0764,80.7774,0,51.2237,49.7363,67,0.6467,81.4829,1
24:00.0,0,0,0,0,0,0,0,0,0,52.3113,49.7363,40,0,0,0,64.7395,80.7774,27,34.2569,49.7363,35,57.9492,81.4829,32
30:00.0,0,0,0,0,0,0,0,0,0,23.322,49.7363,9,0,0,0,79.7779,80.7774,24,35.4562,49.7363,33,28.7189,81.4829,16
36:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8508,80.7774,28,51.5823,49.7363,67,73.3346,81.4829,37
42:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.905,80.7774,44,46.979,49.7363,34,86.3977,81.4829,39
48:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4522,80.7774,10,52.0879,49.7363,64,0,0,0
54:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1005,80.7774,43,50.6769,49.7363,61,73.364,81.4829,39
00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3983,80.7774,57,51.8175,49.7363,66,89.9721,81.4829,48
06:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.4988,80.7774,35,51.2942,49.7363,32,74.8807,81.4829,32
12:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2425,80.7774,1,8.889,49.7363,0,23.8393,81.4829,1
18:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
